pergunta;resposta
Qual foi o ano de fundação da Universidade Harvard?;1636
Quem foi o primeiro benfeitor da Universidade Harvard?;John Harvard
Em qual estado está localizada a Universidade Harvard?;Massachusetts
Quantos presidentes dos Estados Unidos foram alunos da Universidade Harvard?;Oito
Quando a faculdade de graduação tornou-se mista?;1977
Qual é o tamanho do orçamento anual da Universidade Harvard?;cerca de US$30 bilhões
Qual é o nome do campus principal da universidade?;Camargo
Qual estátua representa a Universidade Harvard?;Estátua de John Harvard
Quantos volumes estão contidos na biblioteca da universidade?;18 milhões de volumes
Qual organização Harvard encontrou em 1900?;Associação de Universidades Americanas
