pergunta;resposta
Quem é William Smith (geólogo)?;William Smith (geólogo)
Qual é o tópico principal da Wikipedia sobre Geologia?;Geologia
Quais são os templates usados na página da Wikipedia sobre Geologia?;Template:Distinguish, Template:Div_col, Template:Earth, Template:Etymology, Template:Multiple_image
Qual é a imagem associada à página da Wikipedia sobre Geologia?;Geologic_Clock_with_events_and_periods.svg
Quem é William Otis Crosby?;William Otis Crosby
Quem é William Valentine?;William Valentine
Quem é Xiaoming Wang (paleontólogo)?;Xiaoming Wang (paleontólogo)
Quem é Ólafur Arnalds (cientista)?;Ólafur Arnalds (cientista)
Quem é Zhao Guochun?;Zhao Guochun
Quem é Robert Bell (geólogo)?;Robert Bell (geólogo)
