pergunta;resposta
Qual é a idade aproximada da Terra determinada pela geologia?;4,6 bilhões de anos
Quantos cursos presenciais de graduação em Geologia e Engenharia Geológica existem no Brasil?;35 cursos
Qual profissional ajuda a localizar recursos naturais como petróleo, carvão e metais?;O geólogo
Qual é o termo usado para designar estudos de outros corpos do sistema celeste?;Astrogeologia
Qual revista científica está relacionada com a geologia da América do Sul?;Journal of South American Earth Sciences
Qual é a principal ferramenta usada pela geologia para determinar a composição dos rochas?;A química
Em que ano a palavra 'geologia' foi introduzida definitivamente?;1779
Qual ciência usa a geologia para suporte em muitos dos seus estudos?;Biologia e antropologia
Qual paleontólogo contribuiu significativamente para a geologia?;Xiaoming Wang
Em quantas unidades federativas brasileiras existem cursos de graduação em Geologia?;18 das 27 unidades federativas
