pergunta;resposta
Qual é o comprimento do rio Reno?;1 233 km
Em qual país o rio Reno tem sua origem?;Suíça
Quais rios convergem para formar o rio Reno?;Hinterrhein e Vorderrhein
Em qual país o rio Reno deságua no mar do Norte?;Países Baixos
Qual é o nome do delta onde o rio Reno deságua?;Delta do Reno–Mosa–Escalda
Qual ponte cruza o rio Reno próximo a Emmerich?;Emmerich Rhine Bridge
Qual é a classificação principal do rio Reno?;BodyOfWater
Qual batalha histórica está associada ao rio Reno?;Batalha do Floresta Teutônica
Qual idioma está associado ao nome 'Rhein' do rio?;Alemão
Qual região na Alemanha está associada ao rio Reno?;Reno Basin
