pergunta;resposta
Onde os huguenotes eram majoritariamente calvinistas?;Na França
Qual foi a data da revogação do Édito de Nantes?;18 de outubro de 1685
Quais regiões francesas tinham maioria luterana entre os protestantes?;Alsácia, Moselle e Montbéliard
Qual foi a principal razão para a saída dos huguenotes da França?;Perseguições e revogação do Édito de Nantes
Quais foram as guerras religiosas na França em que os huguenotes estiveram envolvidos?;Guerras Religiosas Francesas (segunda metade do século XVI)
Qual foi a consequência da revogação do Édito de Nantes para os huguenotes?;Perseguições e expulsão
Quais foram as datas principais relacionadas à perseguição dos huguenotes?;18 de outubro de 1685 (revogação do Édito de Nantes)
Onde os huguenotes tiveram um impacto significativo culturalmente?;Na França e no exterior, influenciando o Protestantismo Francês
Quais são os nomes de localidades nos EUA relacionadas aos huguenotes?;Huguenot, Orange County, New York e Huguenot, Staten Island
Qual foi a religião majoritária dos huguenotes?;Calvinismo
