pergunta;resposta
Qual é o principal objetivo da União Europeia?;Promover a paz, a prosperidade e o bem-estar dos seus cidadãos.
Quais são as instituições principais da UE?;Parlamento Europeu, Conselho da União Europeia e Comissão Europeia.
Qual é o tratado que estabelece a citzenship europeia?;Tratado de Maastricht
Quais são os direitos fundamentais protegidos pela União Europeia?;Direito à liberdade, respeito pela dignidade humana e igualdade.
Qual é o órgão jurisdicional da UE?;Tribunal de Justiça da União Europeia
Quais são os valores fundamentais da UE?;Respeito pela dignidade humana, liberdade, democracia, igualdade, estado de direito e respeito dos direitos humanos.
Qual é a moeda oficial da maioria dos países da UE?;Euro
Quais são os três pilares da União Europeia?;Cooperação Legislativa, Cooperação Administrativa e Cooperação de Segurança.
Qual é o órgão responsável por propor legislação na UE?;Comissão Europeia
Qual é o tratado que instituiu a política de coesão entre os Estados-Membros?;Tratado de Roma
