pergunta;resposta;resa
O que significa a palavra 'Escola' em português?;Refere-se a um estabelecimento de ensino.;
Qual é a principal função de uma escola?;;Ensinar e educar os alunos.
Quais são os principais níveis de ensino em uma escola?;Ensino fundamental, médio e superior.;
Quem é responsável pela gestão de uma escola?;O diretor e a equipe pedagógica.;
Como são classificadas as escolas por modalidade?;Públicas, privadas e particulares.;
Quais são as atividades principais de uma escola?;Ensino, pesquisa e extensão.;
O que caracteriza o ensino fundamental?;Educação básica com foco em habilidades fundamentais.;
Quais são as áreas de ensino em uma escola?;Humanas, naturais e tecnológicas.;
Como as escolas contribuem para o desenvolvimento dos alunos?;Através da formação acadêmica e social.;
Quais são os desafios enfrentados pelas escolas?;Acesso à educação, qualidade do ensino e inclusão.;
