pergunta;resposta
O sistema imunológico protege os organismos contra o que?;de dença.
Quais são os agentes que o sistema imunológico detecta conhecidos?;patógenos.
Qual parte do sistema imunológico protege o cérebro?;sistema neuroimune.
O que separa o sistema neuroimune e o sistema imunológico periférico em humanos?;.
Como são chamados os agentes detectados pelo sistema imunológico?;patógenos.
Quais são os dois tipos diferentes de imunidade?;imunidade humoral versus imunidade mediada por células.
Qual dos subsistemas do sistema imunológico é responsivo ao sujeito individualmente?;sistema imunológico inato.
O que acontece quando o sistema imunológico é menos ativo que o normal?;imunodeficiência.
Qual é o termo para um sistema imunológico hiperativo que ataca tc Tecidos normais?;autoimunidade.
O que inclui entre os organismos e as plantas como s systematic units do sistema imunológico?;monocytoma.
