pergunta;resposta
Em que ano a British Satellite Broadcasting (BSB) foi incorporada?;1986
Qual foi o destino final da British Satellite Broadcasting?;Fundiu-se com a Sky Television para formar a BSkyB.
Qual canal de TV tinha a British Satellite Broadcasting como proprietária?;The Movie Channel (British TV channel)
Além de 'Company', qual outro tipo de entidade a British Satellite Broadcasting é classificada?;Organization
Qual filme teve a British Satellite Broadcasting como empresa de produção?;Hardware
Qual foi a data de início das transmissões da British Satellite Broadcasting?;25 de março de 1990
Além de Londres, em qual outro local a British Satellite Broadcasting estava localizada?;England
Qual canal de televisão era propriedade da British Satellite Broadcasting?;Now (British TV channel)
Qual é o nome completo da British Satellite Broadcasting, conforme mencionado no contexto?;British Satellite Broadcasting plc
Qual canal de TV tinha a British Satellite Broadcasting como owning company?;The Computer Channel (BSB)
