pergunta;resposta
Qual é a capital do voivodeship de Varsóvia (1919–1939)?;Varsóvia
Qual é o nome da universidade localizada em Varsóvia?;Universidade de Varsóvia
Qual é o significado histórico do Ghetto de Varsóvia?;Foi um campo de concentração durante a Segunda Guerra Mundial, onde cerca de 500.000 judeus foram assassinados.
Qual é o rio principal próximo a Varsóvia?;Vístula
Qual é o fuso horário de Varsóvia?;+2
Qual é a população do área metropolitana de Varsóvia?;2,666 milhões
Qual é o nome do aeroporto de Varsóvia?;Aeroporto de Chopin
Qual foi o evento histórico ocorrido em Varsóvia em 1944?;O Levantamento de Varsóvia (1944), uma resistência contra as forças nazistas.
Qual é o nome da catedral de Varsóvia?;Catedral de São João, Varsóvia
Qual é o foco econômico de Varsóvia?;Variedade de indústrias e pesquisa científica.
