pergunta;resposta
When was BSB founded?;1986
On what date did BSB begin its transmissions?;March 25, 1990
Which company succeeded BSB after the merger?;BSkyB
Name one channel owned by BSB.;Galaxy TV
What was the name of the company formed after merging with Sky TV?;BSkyB
When did BSB merge to form BSkyB?;November 1990
Did BSB own The Movie Channel?;Yes
Which film's production company was BSB?;"Hardware"" (or ""Memphis Belle"")"
What was the fate of BSB?;Merged with Sky TV to form BSkyB
Name another channel owned by BSB.;The Movie Channel
