pergunta;resposta
Qual a sigla utilizada para se referir ao Painel Intergovernamental sobre Mudanças Climáticas?;IPCC
Qual a principal função do IPCC?;Sintetizar e divulgar o conhecimento mais avançado sobre as mudanças climáticas.
Em que ano o IPCC foi criado?;1988
Quais organizações foram responsáveis pela iniciativa de criação do IPCC?;Programa das Nações Unidas para o Meio Ambiente (PNUMA) e da Organização Meteorológica Mundial (OMM).
O IPCC produz pesquisas originais ou resume o conhecimento produzido por outros?;Resume o conhecimento produzido por cientistas de alto nível independentes e ligados a organizações e governos.
Qual a importância do IPCC no cenário mundial?;Representa a maior autoridade mundial a respeito do aquecimento global e tem sido a principal base para o estabelecimento de políticas climáticas.
Em qual país se localiza a sede do IPCC?;Geneva, Switzerland
Qual o significado de 'IPCC' em português do Brasil?;Painel Intergovernamental sobre Mudanças Climáticas
Qual o propósito de Renewable Energy Sources and Climate Change Mitigation em relação ao IPCC?;Renewable Energy Sources and Climate Change Mitigation possui autor Intergovernmental Panel on Climate Change.
Qual foi o ano do último relatório produzido pelo IPCC?;2014
