pergunta;resposta
Quem cunhou o termo 'sistema imunitário'?;Ilya Ilyich Mechnikov
O que é característico do sistema imunitário de organismos unicelulares?;enzimas que protegem contra bacteriófagos
Qual é o papel fundamental dos monócitos na defesa do corpo?;produção e liberação de citocinas
Onde se localiza o sistema imunitário periférico nos humanos?;circulante, pulmonar e ocular
Qual é o nome dado ao sistema imunológico do cérebro?;sistema neuroimune
Quais são os mecanismos de defesa que acompanham a evolução dos eucariotas?;fagocitose, defensinas e sistema complemento
Qual é o termo para a capacidade do corpo de responder eficazmente à novas infecções por agentes específicos?;imunidade adquirida
Quem fez contribuições importantes no campo da imunologia ao descobrir as defensinas e o sistema complemento?;César Milstein
O que acontece se os mecanismos de defesa são incapazes de neutralizar adequadamente agentes patogénicos?;imunodeficiência
Quais são as doenças relacionadas à ativação do sistema imunitário excessiva?;artrite reumatóide e diabetes de tipo 1
