pergunta;resposta
Qual é a maior floresta tropical do mundo?;Amazônia
Em quais países está localizada a Floresta Amazônica?;Brasil, Peru e Colômbia
Qual é o nome da maior bacia hidrográfica do mundo que abrange grande parte da Floresta Amazônica?;Bacia Amazônica
Quanto da biodiversidade mundial acredita-se que seja representada pela Floresta Amazônica?;10%
Qual é o principal risco enfrentado atualmente pela Floresta Amazônica?;Desmatamento
A Floresta Amazônica é conhecida como o 'pulmão do mundo' devido à sua capacidade de realizar qual processo?;Fotossíntese
Qual tipo de clima predominante na maior parte da Amazônia?;Equatorial úmido
Quais são algumas das ameaças que afetam a biodiversidade da Floresta Amazônica?;Desmatamento, caça ilegal e mineração
O Rio Amazonas é o maior rio em volume de água do mundo. Em qual país ele está localizado principalmente?;Brasil
Qual é a função da Floresta Amazônica na regulação do clima global?;Absorção de CO2 e produção de oxigênio
