pergunta;resposta;resgaard
Quem foram os Normandos?;Os Normandos eram um grupo de pessoas que viviam na região da Normandia, no noroeste da França.;
De onde vieram originalmente os Normandos?;Originalmente, os Normandos vieram do norte da Dinamarca e Noruega.;
Qual foi a invasão mais famosa dos Normandos na Inglaterra?;A invasão normanda mais famosa foi em 1066, liderada por Guilherme, Duque da Normandia.;
Quem era o duque que liderou a invasão normanda na Inglaterra?;O duque que liderou a invasão normanda em 1066 foi Guilherme, Duque da Normandia.;
Qual foi o resultado imediato para o rei inglês Harold II após a invasão normanda?;Harold II morreu na Batalha de Hastings em 1066 durante a invasão normanda.;
Como os Normandos se estabeleceram na região da Normandia?;Os Normandos conquistaram e se estabeleceram na região da Normandia em meados do século X.;
Qual foi o impacto cultural dos Normandos na Inglaterra após 1066?;Depois de 1066, os Normandos introduziram sua língua e cultura na Inglaterra, incluindo o latim normando.;
Qual foi a linguagem oficial da corte após a invasão normanda?;A língua oficial da corte inglesa tornou-se o francês normando depois de 1066.;
O que é conhecido como 'Domesday Book' e quando foi escrito?;;'Domesday Book' é um registro detalhado da Inglaterra feito por ordem de Guilherme, o Conquistador, em 1086.
Qual foi a importância do 'Domesday Book'?;Domesday Book' é importante porque fornece um retrato preciso da Inglaterra no final do século XI, incluindo detalhes sobre terras e população.;
