pergunta;resposta
A palavra 'imperialismo' tem suas raízes em qual língua?;latina
Qual é a principal característica estrutural de um império?;uma divisão entre centro (metrópole) e periferia
O que é mencionado como exemplo de um império histórico no texto?;o Império Romano
O termo 'imperialismo' é também utilizado como qual tipo de categoria analítica?;categoria de análise
Qual é o nome da página da Wikipédia que aborda o tema do imperialismo?;Império
Qual partido político é citado como tendo ideologia de imperialismo?;Partido Conservador Canadense
Qual evento histórico está associado ao imperialismo segundo o texto?;genocídio dos Hereros e Namaquês
Qual disciplina acadêmica é associada ao estudo do imperialismo?;teoria política
Qual é a diferença entre imperialismo formal e informal?;formal envolve dominação direta, enquanto informal é mais sutil
Qual é a função principal da metrópole em um império?;exercer controle sobre a periferia
