pergunta;resposta
Qual é o nome completo da organização abreviada como IPCC?;Intergovernmental Panel on Climate Change
Quais duas organizações estabeleceram o IPCC em 1988?;o Programa das Nações Unidas para o Meio Ambiente (PNUMA) e a Organização Meteorológica Mundial (OMM)
Qual é a principal função do IPCC?;sintetizar e disseminar o conhecimento mais recente sobre mudanças climáticas
Onde está sediado o IPCC?;em Genebra
Qual é o nome do Prêmio Nobel recebido pelo IPCC?;Prêmio da Paz
Qual é o papel principal do IPCC em políticas climáticas?;servir como referência científica para acordos internacionais e políticas públicas
Qual organização internacional o IPCC faz parte, além das Nações Unidas?;a Organização Meteorológica Mundial (OMM)
Quem é o líder atual do IPCC?;Hoesung Lee
Qual foi o primeiro presidente do IPCC?;Bert Bolin
Em que anos foram publicados os primeiros e últimos relatórios do IPCC?;os primeiros em 1990 e os últimos em 2014
