pergunta;resposta
Quando foi estabelecido o Parlamento da Escócia?;1999
Onde está localizado o Parlamento da Escócia?;Edimburgo
Quantos membros compõem o Parlamento da Escócia?;129
Quem é o chefe do Parlamento da Escócia?;O Presiding Officer
Quais são as principais áreas de responsabilidade do Parlamento da Escócia?;Educação, saúde e justiça
Qual é o papel do Primeiro-Ministro da Escócia?;Chefe do governo escocês e responsável por políticas e administração
O que é a devolução no contexto do Parlamento da Escócia?;Transferência de poderes do governo do Reino Unido para o Parlamento da Escócia
Em que ano ocorreu a primeira eleição para o Parlamento da Escócia?;1999
Qual é a posição constitucional do Parlamento da Escócia dentro do Reino Unido?;Parte do quadro constitucional do Reino Unido
Quais são as funções do Primeiro-Ministro da Escócia?;Chefe do governo e responsável por políticas e administração
