pergunta;resposta;respostas
Qual é o significado da palavra 'Norman'?;Norman significa 'homem do Norte;
Em que línguas os Normandos falavam?;Os Normandos falavam Latim, Old Norman e Old Norse;
Quais foram alguns dos principais cenários envolvendo os Normandos na história?;Cenários como a Conquista Normanda da Inglaterra, as Cruzadas e a Batalha de Montepeloso;
Qual é um exemplo específico de uma construção construída pelos Normandos?;Taunton Castle era uma obra construída por Normandos;
Em que grupos familiares Normandos são mencionados?;Os nomes das famílias incluem Hauteville, Lyons e Philbin;
Qual é um exemplo de uma Igreja construída pelos Normandos?;St. Bride's Church em Llansantffraed era obra construída por Normandos;
Em quais países os Normandos são citados como nativos ou originários?;Os exemplos incluem Jersey e o povo Viking;
Em que grupos religiosos estão relacionadas as famílias de Norman?;Os exemplos incluem Cristianismo e Paganismo nórdico;
Qual é o idioma da página principal para 'Normans' em Wikipedia?;O idioma da página principal é Latim, Old Norman e Old Norse;
Quais são os principais grupos familiares mencionados como pertencentes aos Normandos?;;['Os exemplos incluem Hauteville, Lyons e Philbin', 'Outro exemplo é o nomes dos membros da família de Norman mencionados']
