pergunta;resposta
De onde descendia a aristocracia normanda?;viquingues da Escandinávia
Qual foi um dos principais eventos históricos protagonizados pelos normandos?;Conquista Normanda da Inglaterra
Quem era Alexander of Paris de acordo com o contexto fornecido?;um normando
Qual foi uma das batalhas em que os normandos participaram?;Batalha de Cerami
Quem comandou na Batalha de Soissons (923)?;Normans
Que família é conhecida por ser normanda?;Hauteville family
Quem construiu o Waytemore Castle?;Normans
Qual foi a religião dos normandos mencionada no contexto fornecido?;Christianity
Quem é conhecido por se destacar em relação aos normandos?;Lucien Musset
Qual é um dos estilos arquitetônicos associados aos normandos?;Normans
