pergunta;resposta
Quais idiomas os normandos falavam?;Idioma antigo nórdico e latim.
Quais são os grupos históricos relacionados aos normandos?;Vikings, Galo-Romanos, Francos.
Qual é o significado original da palavra 'Norman'?;Homens do Norte.
Quais castelos foram ocupados pelos normandos?;Dún Dealgan Motte, Kells Castle, Trim Castle.
Quais são as religiões seguidas pelos normandos?;Paganismo nórdico e cristianismo.
Quais batalhas envolveram normandos?;Siege of Mahdia, Battle of Montepeloso.
Qual é o estilo arquitetônico associado aos normandos?;Estilo normando.
Quais figuras históricas têm origem nos normandos?;Richard of Salerno, Alexander of Paris.
Quais idiomas são falados pelos normandos?;Latim e antigo nórdico.
Quais são as imagens representativas dos normandos?;Lusignan.jpg, Norman Conquests copy.jpg, Bayeux Tapestry scene19 detail.
