pergunta;resposta
Where did the Black Death originate?;The Black Death likely originated in the Central or East Asian regions.
How did the Black Death reach Europe?;It reached Europe via ships carrying rats infested with fleas after spreading through the Silk Road to Crimea.
What bacterium caused the Black Death?;The bacterium Yersinia pestis caused the Black Death.
How many people did the Black Death kill globally?;It killed between 75 million and 200 million people globally.
What was the mortality rate in Europe during the Black Death?;It resulted in the death of 30 to 60% of Europe's population.
When did the Black Death peak in Europe?;The peak occurred between 1347 and 1351.
How long did the Black Death last?;It lasted until the early 20th century, with recurring outbreaks.
How long did it take Europe's population to recover from the Black Death?;It took approximately two centuries for Europe's population to fully recover.
What forms did the Black Death take?;It manifested in bubonic, septicemic, and pneumonic forms.
What were some social effects of the Black Death in Europe?;It led to increased labor rights and a decline in traditional religious piety.
