pergunta;resposta;resqaunte
Qual é o nome do órgão legislativo da Escócia?;Parlamento da Escócia;
O Parlamento da Escócia foi estabelecido em que ano?;1999;
Em qual cidade está localizado o Parlamento da Escócia?;Edimburgo;
Quantos membros compõem o Parlamento da Escócia, incluindo os parlamentares eleitos e o Primeiro-Ministro?;129;
Qual é a função principal do Parlamento da Escócia?;Legislar sobre assuntos internos escoceses, como saúde, educação e policiamento;
O que representa o parlamento da Escócia na bandeira?;;A bandeira do Parlamento da Escócia não tem um símbolo específico representativo.
Quem é a primeira chefe do governo da Escócia após a criação do Parlamento?;Donald Dewar;
O que é a competência exclusiva da Assembleia Nacional da Escócia, em contraste com o parlamento britânico em Westminster?;Assuntos internos escoceses como saúde, educação e policiamento;
Quais são alguns dos temas legislativos que foram transferidos para a Assembleia Nacional da Escócia após sua criação?;Saúde, educação, policiamento, meio ambiente;
Qual é o principal objetivo do Parlamento da Escócia em relação à autonomia política?;Promover maior autonomia e poder de decisão para a Escócia sobre assuntos internos.;
