pergunta;resposta
Em qual ano foi fundada a Universidade de Harvard?;1636
Onde está localizada a Universidade de Harvard?;Cambridge, Massachusetts
Quantos programas acadêmicos são oferecidos pela Universidade de Harvard?;Mais de 400
Quais são alguns dos ex-alunos mais notáveis da Universidade de Harvard?;Barack Obama, John F. Kennedy e Mark Zuckerberg
Quais são algumas das disciplinas oferecidas na Universidade de Harvard?;Direito, Medicina, Negócios, Artes e Ciências
Como é a reputação global da Universidade de Harvard?;Uma das mais prestigiadas do mundo
Qual é o nome do sistema bibliotecário da Universidade de Harvard?;Harvard Library System, que possui milhões de volumes
Qual é o nome dos times esportivos da Universidade de Harvard?;Harvard Crimson
Qual é a maior faculdade de graduação da Universidade de Harvard?;Harvard College
O que caracteriza o patrimônio financeiro da Universidade de Harvard?;Possui um dos maiores patrimônios entre universidades no mundo
