pergunta;resposta
Qual é o fluido de trabalho em um motor a vapor?;O vapor de água sob alta pressão e temperatura.
Como o motor a vapor converte energia térmica em trabalho mecânico?;Por meio da expansão do vapor, que reduz sua temperatura e energia interna, convertendo-a em movimento mecânico.
Por que os motores a vapor ainda são utilizados hoje?;Em reatores nucleares para geração de eletricidade.
Qual lei da termodinâmica fundamenta o funcionamento de máquinas térmicas como o motor a vapor?;A primeira lei da termodinâmica (conservação de energia) e a segunda lei (conversão de calor em trabalho).
O que acontece com a energia interna do vapor durante sua expansão em uma turbina?;A energia interna diminui, sendo convertida em energia mecânica.
Quem é associado ao desenvolvimento do motor a vapor?;Thomas Newcomen (segundo os fatos fornecidos).
Qual é a principal aplicação moderna dos motores a vapor?;Geração de eletricidade em reatores nucleares.
Como o motor a vapor utiliza o vapor para produzir movimento?;O vapor atua sobre pistões ou turbinas, gerando força mecânica.
O que caracteriza o funcionamento de uma turbina a vapor?;A expansão do vapor, que reduz sua pressão e temperatura, convertendo energia térmica em trabalho.
Qual é a fonte principal de energia para embarcações movidas a vapor?;O motor a vapor, que utiliza o calor do vapor para impulsionar a navegação.
