pergunta;resposta
Qual é o termo para protesto pacífico contra leis consideradas injustas?;desobediência civil
Quem é considerado o formulador do conceito de desobediência civil?;Henry David Thoreau
Qual movimento utilizou a desobediência civil para obter independência?;Independência da Índia e do Paquistão
Qual movimento nos Estados Unidos utilizou a desobediência civil?;Movimento pelos direitos civis
Qual protesto em 2021 utilizou a desobediência civil?;Protestos do memorial do fim do SARS
Qual grupo utiliza a desobediência civil?;Sisters Uncut
Qual é o objetivo da desobediência civil?;Resistência contra leis injustas ou governos opressores
Qual evento em 2020 utilizou a desobediência civil?;Protestos de George Floyd em Chicago
Qual país teve protestos em 2021 utilizando a desobediência civil?;Montenegro
Qual é o hiperônimo da desobediência civil?;Refusal
