pergunta;resposta
De onde vinham em grande parte os normandos?;Escandinávia
O que significa o termo 'normando'?;Homens do Norte
Em qual região da Europa os normandos desempenharam um papel importante?;Norte e Mediterrâneo
Qual foi uma das principais contribuições dos normandos para a arquitetura?;Estilo Norman
Quais batalhas os normandos participaram?;Battle of Cerami, Battle of Civitate, Battle of Misilmeri, Battle of Dinan, Batalla de Sicília (1063)
Qual foi o papel dos normandos na Conquista Normanda?;Liderados por Guilherme, o Conquistador
Quais línguas os normandos falavam?;Latim, Old Norman e Old Norse
Qual foi a religião dos normandos?;Cristãos
Quais foram as principais contribuições culturais dos normandos para a Inglaterra?;Introdução do estilo Norman na arquitetura, influência no idioma inglês e na língua francesa
Quando os normandos estabeleceram o Ducado da Normandia?;Século X
