pergunta;resposta
Quem foi o fundador da dinastia Yuan?;Kublai Khan
Em que ano a dinastia Yuan foi oficialmente estabelecida?;1271
Qual era o nome chinês da dinastia Yuan?;大元
Qual foi o nome oficial da dinastia Yuan em mongol?;Great Yuan
Quem foi o avô de Kublai Khan?;Genghis Khan
Qual dinastia antecedeu a dinastia Yuan?;Dinastia Song
Qual dinastia sucedeu a dinastia Yuan?;Dinastia Ming
Qual foi a capital da dinastia Yuan?;Dadu (ou Khanbaliq)
Qual evento marcante ocorreu durante o período da dinastia Yuan?;Batalha de Yamen
Quem foi o último líder da dinastia Yuan?;Toghon Temür
