pergunta;resposta;explicacao
Quem liderou a operação britânica em Monongahela?;General Edward Braddock;
Qual foi o resultado da Batalha de Monongahela?;Derrota para os franceses e aliados indígenas, com grande número de mortes entre as forças britânicas;
Quem liderou a Batalha de Jumonville Glen?;Alguns Algonquins e Mohicans;Liderados pelo Chefe Caniagis, geralmente interpretado como representando os indígenas allies dos franceses.
Em que data ocorreu a Batalha de Jumonville Glen?;28 de maio de 1754;
Quem era Chefe Caniagis?;O líder indígena que comandou o ataque na Batalha de Jumonville Glen;Caniagis era um chefe Algonquin.
Qual foi a resposta britânica à violência iniciada pelos franceses e seus aliados indígenas?;O início de uma grande campanha militar que incluiu o general George Washington e a nomeação do General Edward Braddock como comandante em chefe da defesa das colônias.;
Quem liderou as forças britânicas no ataque à Fort Duquesne?;General Edward Braddock;Embora o esforço final tenha sido frustrado, ele recebeu a responsabilidade de comandar um esforço maior.
O que causou o fracasso da campanha de General Edward Braddock?;Combinação de má administração e divisões internas, além dos olheiros canadenses eficazes, forças regulares francesas e aliados guerreiros indígenas;
Quem liderou a campanha final para o controle da Fort Duquesne?;General John Forbes;
O que aconteceu com as forças de General Edward Braddock após a derrota em Monongahela?;Ele foi preso pelos franceses e indígenas allies, sendo libertado apenas quando os britânicos ganharam o controle da Fort Duquesne.;
