pergunta;resposta
Qual é o nome grego que inspirou o nome Ctenophora?;κτείς kteis 'pente' e φέρω pherō 'portador
Quais são os nomes comuns dos ctenóforos mencionados no texto?;carambolas-do-mar ou águas-vivas-de-pente
Onde estão presentes naturalmente os ctenóforos?;nas águas oceânicas e estuarinas
Qual é a característica distintiva dos ctenóforos mencionada no texto?;presença de pentes formados por grupos de cílios que utilizam para nadar
Quanto varia o tamanho dos adultos de Ctenophora?;de cerca de 1 mm a 1,5 m de comprimento
Qual é a similaridade entre ctenóforos e medusas mencionada no texto?;morfologia globosa, presença de uma mesogleia gelatinosa e transparência das suas membranas
"Quem é o autor da imagem ""Ctenophorae"" do livro Kunstformen der Natur?";Ernst Haeckel
Qual é a classificação taxonômica de Ctenophora na DBpedia?;<http://dbpedia.org/class/yago/Animal100015388>
Quais são as classes de subdivisão mencionadas para Ctenophora no texto?;*Tentaculata, *Nuda, *Scleroctenophora
Qual é a espécie tipo mencionada na DBpedia para Ctenophora?;Mnemiopsis leidyi
