pergunta;resposta
Qual é o nome de outra cidade que faz fronteira com Jacksonville?;St. Augustine
Qual é o principal porto de Jacksonville?;Port of Jacksonville
Qual é o principal produto que Jacksonville exporta?;O que é produzido.
Em que ano Jacksonville foi fundada?;1821
Qual é o principal centro de transporte de Jacksonville?;Aeroporto Internacional Jacksonville
Qual é o nome do sistema escolar mais antigo de Jacksonville?;Providence School
Qual é o nome do museu de arte de Jacksonville?;Museu de Arte de Jacksonville
Qual é o nome do clube de futebol profissional de Jacksonville?;Jacksonville Jaguars
Qual é o nome do estádio de futebol onde o Jacksonville Jaguars jogam?;Estádio EverBank
Qual é o principal centro de pesquisa de Jacksonville?;Universidade da Flórida - Faculdade de Farmácia
