pergunta;resposta;mas também
Qual era o significado histórico da palavra 'escola'?;discussão ou conferência;folga ou ócio
O que é uma escola no contexto atual?;instituição concebida para o ensino de alunos sob a direção de professores;
Como são chamadas as instituições que oferecem ensino superior?;faculdade ou universidade;
Quais são os dois níveis educacionais mencionados no contexto?;ensino fundamental para crianças e o ensino médio para os adolescentes;
Como os estudantes progredem em sistemas educacionais formais?;por uma série de níveis escolares e sucessivos;
Qual era o significado da 'folga ou ócio' na definição histórica da escola?;um tempo ocioso onde era possível ter uma conversa interessante e educativa;
Qual é o propósito principal das escolas hoje?;ensino de alunos sob a direção de professores;
Que tipo de sistemas educacionais a maioria dos países possui?;sistemas formais de educação, que geralmente são obrigatórios;
Que tipo de escolas são listadas nos fatos fornecidos?;Private school;
Qual é o termo para o nível educacional destinado a crianças?;ensino fundamental;
