pergunta;resposta
Quando foi criado o IPCC?;1988
Qual é a abreviação do Painel Intergovernamental sobre Mudanças Climáticas em inglês?;IPCC
O IPCC foi criado por quais organizações dentro das Nações Unidas?;Programa das Nações Unidas para o Meio Ambiente (PNUMA) e Organização Meteorológica Mundial (OMM)
Qual é a principal função do IPCC?;Sintetizar e divulgar conhecimento avançado sobre as mudanças climáticas
Onde está localizada a sede do IPCC?;Geneva, Switzerland
Em qual ano o IPCC ganhou o Prêmio Nobel da Paz?;2007
Qual é um dos principais temas estudados pelo IPCC?;Aquecimento global
Quem atualmente lidera o IPCC?;Hoesung Lee
Quantos grandes relatórios o IPCC produziu desde sua criação?;cinco
Qual é a função principal dos cientistas envolvidos no trabalho do IPCC?;Reunir e resumir conhecimento científico sobre mudanças climáticas produzido por cientistas independentes
