pergunta;resposta
Qual é o nome completo do Painel Intergovernamental para as Alterações Climáticas?;Painel Intergovernamental sobre Mudanças Climáticas
Em que ano o IPCC foi criado?;1988
Qual o principal objetivo do IPCC?;Sintetizar e divulgar o conhecimento mais avançado sobre as mudanças climáticas.
Qual a organização que fornece a base para o IPCC?;a Organização Meteorológica Mundial (OMM)
Qual o nome da organização que estabeleceu o IPCC?;Programa das Nações Unidas para o Meio Ambiente (PNUMA)
Em que cidade está sediado o IPCC?;Geneva
Qual o ano do primeiro relatório do IPCC?;1990
Em que ano o IPCC recebeu o Prêmio Nobel da Paz?;2007
Quem foi o primeiro presidente do IPCC?;Bert Bolin
Qual o principal produto do IPCC?;Relatórios sobre as mudanças climáticas
