answer;pergunta;resposta
França.;Onde nasce o Rio Reno?;
França e Itália.;Em quais países está localizado o Reno?;
597 km.;Qual é a extensão do Reno?;
Mar Mediterrâneo.;Para qual mar desemboca o Reno?;
Perto de Marselha.;Onde, exatamente, o Reno desemboca no Mar Mediterrâneo?;
França.;Qual país tem um dos maiores rios que inclui o Reno?;
Rio Reno.;Quais cursos d'água são importantes na Itália?;
Montanhas dos Alpes.;De onde nasce o Reno?;
47 bilhões de m³ por ano.;Qual é a vazão anual do Reno?;
Varia de 6 a 8 meses.;Quanto tempo dura a navegação fluvial no Reno?;
