pergunta;resposta
De onde provém a origem da palavra 'imperialismo'?;latina
O que caracteriza um império segundo o contexto?;uma unidade política composta por vários territórios e povos, governados por um centro dominante e periferias subordinadas
Quem é associado à área de estudos do imperialismo?;Wolfgang Mommsen
Qual é o tipo de entidade a que o imperialismo pertence?;Organisation
Qual é o nome da imagem representativa associada ao imperialismo?;Roubaud. Russian troops entering Tiflis in 1799.jpg
O que é o termo 'imperialismo' utilizado como?;categoria de análise
Qual é o exemplo de um país que pertence à era do imperialismo?;Portuguese Angola
Qual é o modelo de página wiki utilizado para o termo 'imperialismo'?;Template:Cite encyclopedia
Quais partidos políticos possuem ideologia do imperialismo?;Conservative Party of Canada (1867–1942) e Progressive Party (Cape Colony)
Qual é a motivação do genocídio Herero e Namaqua?;Imperialism
