pergunta;resposta
Qual disciplina é associada a Wolfgang Mommsen?;Imperialism
Qual modelo de página wiki é usado para Imperialism?;Template:Cite encyclopedia
Qual era está ligada à Portuguese Angola?;Imperialism
Qual partido político canadense teve como ideologia o Imperialismo?;Conservative Party of Canada (1867–1942)
Qual livro trata de assunto não ficcional sobre Imperialism?;Settlers: The Mythology of the White Proletariat
Qual categoria do Wikipedia está relacionada a Imperialism?;Category:History of colonialism
Quem atua na área de Imperialism?;Wolfgang Mommsen e Michael Parenti
Qual imagem representativa está associada a Imperialism?;Roubaud. Russian troops entering Tiflis in 1799.jpg
Qual teoria política inclui Imperialism?;Marxian economics
Qual livro trata de assunto não ficcional sobre Imperialism?;Culture and Imperialism
