pergunta;resposta
Quais são os significados históricos da palavra 'escola'?;Discussão ou conferência e folga ou ócio.
O que caracteriza um sistema formal de educação segundo o texto?;Sistemas obrigatórios com níveis escolares sucessivos.
Quais são os níveis típicos de ensino em sistemas educacionais formais?;Ensino fundamental para crianças e ensino médio para adolescentes.
Qual é o termo comum para instituições de ensino superior no texto?;Faculdade ou universidade.
Qual é o tipo de financiamento da KGiSL Institute of Technology?;Private school.
Exemplo de escola privada mencionada no texto.;Beacon English School.
Qual é a principal função das escolas modernas segundo o contexto?;Ensino de alunos sob a direção de professores.
O que distingue uma escola privada de uma pública, segundo o contexto?;O financiamento, sendo as privadas financiadas de forma independente.
Qual é o nível de ensino destinado a adolescentes que concluíram o fundamental?;Ensino médio.
Exemplo de instituição de ensino superior listada como privada.;Chang Gung University.
