pergunta;resposta
Qual é o principal tipo de energia utilizada nas embarcações mencionadas?;Steam engine (Motor a vapor).
Cite um exemplo de embarcação que utilizou um motor a vapor.;Virginia V, Wm. Crichton & Co.
Que tipo de diagramas estão associados a motores a vapor, de acordo com a lista?;Diagramas de injetor de alimentação de vapor, diagramas de admissão de vapor, diagramas de cilindro oscilante, diagramas de turbina.
Qual o propósito de um injetor de alimentação de vapor?;Controlar o fluxo de vapor para o cilindro.
A lista menciona algum tipo de aplicação específica do motor a vapor?;Sim, aplicações incluem embarcações, locomotivas rodoviárias, turbinas.
Quais templates estão associados ao conceito de motor a vapor?;Template:Citation_needed, Template:Clarify, Template:Commons_category, Template:Redirect-multi, Template:Refend, Template:Reflist, Template:Short_description, Template:Wiktionary.
A lista menciona algum inventor associado a motores a vapor?;Jacob Leupold (referência ao seu projeto de 1720).
"Que tipo de informação o template ""Citation_needed"" fornece?";Indica que a informação precisa ser verificada e citada.
"O que o template ""Short_description"" serve?";Fornece uma breve descrição do motor a vapor.
Que tipo de aplicações são mencionadas em relação ao motor a vapor?;Embarcações, locomotivas rodoviárias e turbinas.
