pergunta;resposta
O que é o direito da União Europeia?;um corpo de tratados e legislação
Quais são as principais fontes de direito primário?;Tratados que instituem a União Europeia.
Quais são as fontes secundárias do direito primário?;regulamentos e diretrizes
Quais são os dois órgãos que compõem o legislador da União Europeia?;Parlamento Europeu e pelo Conselho da União Europeia.
Qual efeito o direito da União Europeia tem sobre as leis dos estados membros?;efeito direto ou indireto
Quais são as três fontes do direito da União Europeia?;direito primário, direito secundário e direito complementar.
Quem é Henry G. Schermers?;Um acadêmico especializado na área de Direito da União Europeia.
Qual é o campo de interesse do legal scholar John Bell?;Direito da União Europeia
A qual revista científica pertence a área de Direito da União Europeia?;Common Market Law Review
Quais são as duas categorias de modelos utilizados pela página de Wikipedia sobre o tema?;Modelo de R do movimento e Modelo de rearranjo da palavra
