pergunta;resposta
Qual é o nome científico do grupo que inclui os ctenóforos?;Ctenophora
Quais são os principais componentes da estrutura locomotora dos ctenóforos?;Ciliosos, chamados de ctenos
Qual é a principal característica que distingue os ctenóforos dos outros animais?;A presença de ctenos (ciliosos) para locomoção
Como os ctenóforos realizam a alimentação?;Capturando partículas orgânicas com ctenos e engolindo-as
Quais são os principais grupos de ctenóforos baseados na estrutura de seus ctenos?;Ctenóforos com ctenos simples ou complexos
O que são as 'pontas de ctenos' em ctenóforos?;Estruturas que ajudam na captura de presas e na locomoção
Qual é a função principal dos ctenos em ctenóforos?;Locomoção e captura de presas
Quais são os principais habitats dos ctenóforos?;Oceanos, principalmente em águas superficiais
Como os ctenóforos se reproduzem?;Por reprodução sexuada e, em alguns casos, por reprodução assexuada
Qual é a característica mais notável dos ctenóforos em termos de movimento?;A movimentação ondulatória dos ctenos
