pergunta;resposta
O que é o objetivo principal da Islamism na sociedade?;Reordenação
Em quais aspectos da vida o islamismo procura se integrar?;"todas as esferas da vida""."
Qual é o objetivo do Islamism quando se trata de sociedade e governo?;reordenação
O que os dois movimentos islâmicos diferentes têm desempenhabilido como oscilando entre eles?;
Uma estratégia da Islamização é tomar o power por quais métodos?;revolução ou invasão
De que processos os islamitas moderados e reformistas trabalham dentro dos limites de?;democrático
Onde o Hamas se origina?;Palestina
Qual é o objetivo de grupos islâmicos como o Hezbollah e o Hamas?;abolir o estado de Israel.
O que as organizações islâmicas radicais rejeitam inteiramente?;democracia
Em que base as organizações islâmicas radicais conduzem seus ataques?;religiosos.
