pergunta;resposta
O que são números primos?;Números inteiros maiores que 1 que só podem ser divididos por 1 e por eles mesmos.
Quais são exemplos de números primos gêmeos?;Exemplos incluem os pares (3,5), (5,7) e (11,13).
Quem são alguns matemáticos conhecidos pelo estudo de números primos?;Heinrich Scherk e Landon Curt Noll.
Qual é o maior número primo conhecido atualmente?;Um grande número de milhões de dígitos, frequentemente relacionado à conjectura de Mersenne.
O que são números primos gêmeos?;Pares de números primos com diferença de 2.
Quais são os tipos mais famosos de números primos?;Mersenne, Fermat e Sophie Germain.
O que é um número primorial?;Produto dos primeiros n números primos consecutivos.
"Quais são exemplos de primos ""irmãos""?";Pares como (3,7) e (7,11), que diferem por 4.
"O que são primos ""sexy""?";Números primos com diferença de 6, como (5,11).
Qual ainda é desconhecido sobre os números primos?;A prova da conjectura dos primos gêmeos e o padrão de distribuição.
