pergunta;resposta
Quem eram os Huguenotes?;Eram os protestantes franceses durante as guerras religiosas na França.
Quantos Huguenotes deixaram a França após as perseguições e a revogação do Édito de Nantes?;Cerca de 300.000 deles deixaram a França.
Qual é a afiliação religiosa majoritária dos Huguenotes?;Eram majoritariamente calvinistas e membros da Igreja Reformada.
O que aconteceu em 18 de outubro de 1685 relacionado aos Huguenotes?;Foi a revogação do Édito de Nantes.
Qual região da França tinha protestantes majoritariamente luteranos alemães?;As regiões da Alsácia, Moselle e Montbéliard.
Que imagem é representativa dos Huguenotes?;Huguenot obelisk.jpg
Qual modelo de página wiki está associado aos Huguenotes relacionado ao cristianismo?;Template:Christianity footer
Quais categorias estão associadas aos Huguenotes no contexto do assunto?;Category:Huguenots, Category:Huguenot history in France, e Category:Huguenot history.
Qual foi o relacionamento entre os Huguenotes e os Scotch-Irish Americans?;Os Scotch-Irish Americans estão relacionados aos Huguenotes.
Que tipo de grupo são os Huguenotes categorizados como?;São categorizados como Ethnoreligious groups.
