pergunta;resposta
Qual é o número atómico do oxigénio?;8
O que representa o símbolo O no contexto do elemento químico?;Oxigênio
Qual é a massa atômica do oxigénio?;16 u
O que são os calcogênios?;Um grupo de elementos químicos na tabela periódica, incluindo o oxigênio.
Quais são as principais características do oxigênio como não metal reativo?;O oxigênio é um não metal reativo e forte agente oxidante que facilmente forma compostos com a maioria dos elementos, principalmente óxidos.
Qual é o papel fundamental do oxigênio na atmosfera terrestre?;O oxigênio constitui 20,8% da atmosfera e é fundamental para suportar a vida terrestre.
Qual o processo que reabastece continuamente a quantidade de oxigênio na atmosfera terrestre?;A fotossíntese dos organismos que utilizam a energia solar para produzir oxigênio a partir da água.
Quando o oxigênio elementar O2 começou a acumular-se na atmosfera?;Aproximadamente 2 500 milhões de anos, após o surgimento dos primeiros organismos fotossintéticos.
Qual a função do ozônio na camada de ozono da Terra?;O ozônio é um forte absorvente de radiação ultravioleta e ajuda a proteger a biosfera da incidência de radiação solar.
Qual a relação entre o oxigênio e o processo de respiração celular?;O oxigênio é essencial para o processo de respiração celular, que ocorre nas células dos organismos vivos.
