pergunta;resposta;respostas
Qual foi o nome dado ao termo 'sistema imunitário' por Ilya Ilyich Mechnikov em 1882?;Sistema imunitário;
Quem cunhou o termo 'sistema imunitário'? Em qual ano?;Ilya Ilyich Mechnikov, em 1882;
O que é característica dos organismos unicelulares para se protegerem de infecções por bacteriófagos?;Possuem um sistema imunitário rudimentar;
Qual é a função básica do sistema imunitário nos eucariotas, que também está presente nas plantas e os insectos?;Fagocitose, defensinas (peptídeos antimicrobianos) e o sistema complemento;
Qual é a principal função do processo de imunidade adquirida no ser humano?;Criar memória imunológica para responder mais eficazmente a novas infeções por agentes específicos;
Por que os vertebrados mandibulares desenvolveram mecanismos de defesa mais complexos do que outros organismos?;Para reconhecer agentes patogénicos específicos com maior eficiência ao longo do tempo;
Qual é um exemplo de condição genética que pode levar à imunodeficiência?;Disease genetic conditions;
Quais são os dois principais tipos de transtornos do sistema imunitário?;;['Imunodeficiência', 'Autoimunidade']
Em qual área da ciência estuda-se o sistema imunitário e seus mecanismos de defesa?;Imunologia;
Qual é a especialização do campo de rhuematologia em relação ao sistema imunitário?;É uma especialização dentro do sistema imunitário;
