pergunta;resposta
Quantos países compõem a região da floresta amazônica?;A região inclui território pertencente a nove países.
Qual é a porcentagem da floresta amazônica localizada no Brasil?;O Brasil possui 60% da floresta amazônica.
Qual é a designação da floresta amazônica como patrimônio da humanidade?;A região inclui áreas designadas como Patrimônio da Humanidade pela UNESCO.
Quem são algumas das pessoas famosas que morreram na floresta amazônica?;Guillermo Cervantes e Maria Koepcke.
Qual é a importância da floresta amazônica em termos de biodiversidade?;A floresta amazônica é a que possui a maior biodiversidade de qualquer floresta tropical.
Qual imagem ou evento está associado à desflorestamento na região?;Wildfires in Brazil's indigenous territory, 2017.
Qual é o status da floresta amazônica como área protegida?;A região inclui áreas designadas como Patrimônio da Humanidade pela UNESCO.
Quais são as coordenadas geográficas da floresta amazônica?;Coordenada geográfica -3.0 -60.0.
Quais idiomas nativos estão associados à região da floresta amazônica?;Idioma nativo pt (português) e es (espanhol).
Qual é a relação da floresta amazônica com os Novos Sete Maravilhas da Natureza?;A floresta amazônica foi nominada como um dos Novos Sete Maravilhas da Natureza.
