pergunta;resposta;responde
Qual é o nome do rio que atravessa a Europa de sul a norte?;Reno;
Qual país europeu tem uma porção significativa da fronteira formada pelo Reno?;Alemanha;
O rio Rhine desagua em qual mar?;Mar do Norte;
Qual é o tipo de objeto geográfico que o Rio Rhine representa na wiki?;BodyOfWater;
Quem nasceu no rio Reno (Rhine)?;;Margaret Hardenbroeck
Qual montanha está localizada na foz do Schwarzbach, que deságua no Rhine?;Rhine;
Que tipo de entidade geográfica é o Rhine classificado como?;SpatialThing;
Qual rio tem sua foz localizada em Rhine?;Wupper;
O que deságua no Rhine, cujo sistema fluvial abrange a região de Alte Emscher?;Alte Emscher;
Qual é o nome do rio que atravessa a Alemanha e tem seu ponto mais baixo em Weiach?;Rhine;
