pergunta;resposta
Qual é a estrutura legislativa do Parlamento da Escócia?;É uma assembleia unicameral.
Qual ato estabeleceu os poderes do Parlamento da Escócia?;Lei da Escócia de 1998.
Quais são as áreas principais de competência legislativa do Parlamento da Escócia?;Educação, saúde, ambiente e transportes.
Quais poderes são reservados para o Parlamento do Reino Unido?;Assuntos como defesa, imigração e políticas de segurança.
Quando foi a última eleição para o Parlamento da Escócia?;6 de maio de 2021.
Qual sistema eleitoral é utilizado nas eleições do Parlamento da Escócia?;Sistema adicional de membro.
Quem é o atual Presidente do Parlamento da Escócia?;Alison Johnstone.
Quais são alguns dos principais comitês do Parlamento da Escócia?;Economia, Educação, Meio Ambiente e Relações Exteriores.
Onde está localizado o Parlamento da Escócia?;Na cidade de Edimburgo.
Qual é o nome do prédio onde o Parlamento da Escócia se reúne?;Edifício do Parlamento da Escócia.
