pergunta;resposta
Qual é a capital da Polônia?;Varsóvia
Qual é a população de Varsóvia?;Cerca de 1,8 milhão de habitantes
Qual é o rio que passa por Varsóvia?;Vístula
A que distância fica Varsóvia do mar Báltico?;Cerca de 260 km
Qual é a população da área metropolitana de Varsóvia?;2,666 milhões
Quais são os principais pontos turísticos de Varsóvia?;Velho Centro Histórico, Catedral de São João, Palácio das Quatro Ventos
Qual é a universidade mais importante de Varsóvia?;Universidade de Varsóvia
Qual é o significado da Guerra de Varsóvia?;Um levante contra os nazistas em 1944, que resultou na libertação da cidade
O que caracteriza a economia de Varsóvia?;Variedade de indústrias, incluindo tecnologia, finanças e serviços
Qual é a classificação de Varsóvia como cidade mais habitável do mundo?;32ª, em 2012
