pergunta;resposta
Qual é a abreviação informal para o sul da Califórnia?;SoCal
Em qual ano a população do sul da Califórnia era de aproximadamente 23,8 milhões de pessoas?;2019
Qual empresa de sorvete atende à região do sul da Califórnia?;Fosselman's Ice Cream Company
De onde é originário o grupo musical Altar Boys?;Southern California
Qual modelo de página wiki utiliza Southern California para suas descrições?;Template:Wide image
Quem é um exemplo de pessoa nascida em Southern California?;Jill Barnett
Qual entidade opera na região do sul da Califórnia?;Metrolink (California)
O que é um exemplo de imagem representativa utilizada para Southern California?;I-8 (CA).svg
Qual empresa atende à região do sul da Califórnia, baseando-se em fatos fornecidos?;Ralphs
Quem é mencionado como tendo nascido no sul da Califórnia?;Diane Michelle
