Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Qual é a capital e maior cidade da Polônia?,Varsóvia,1.2,4.82961,1.0,0.667,0.0,1.0,1.0,0.000
2. Em qual rio Varsóvia fica?,Vístula,1.16667,3.79304,1.0,0.250,0.0,1.0,1.0,0.000
3. Qual era a população de Varsóvia em 2012?,1,1.08333,4.61384,1.0,0.400,0.0,1.0,1.0,0.000
4. Quando Varsóvia tornou-se a capital?,1569,1.0,3.79304,1.0,0.500,0.0,1.0,1.0,0.000
5. Qual é o lema de Varsóvia?,Semper invicta,1.03571,4.10211,1.0,0.000,0.5,1.85566,1.0,0.000
6. Qual é a categoria de Varsóvia?,Category:Cidades e vilas no Voivodato de Masóvia,1.03571,4.10211,1.0,0.250,1.77778,4.37319,1.0,0.167
7. Qual é o tipo de sinset para Varsóvia?,WordNet synset-monument-noun-2,1.08333,4.61384,1.0,0.200,0.5,1.85566,1.0,0.000
8. Quantos dias de precipitação Varsóvia tem anualmente?,162,1.3125,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
9. Qual é a umidade relativa em setembro em Varsóvia?,79,1.15,4.96484,0.9,0.333,0.0,1.0,1.0,0.000
10. Qual é a temperatura máxima registrada em junho em Varsóvia?,36,1.38636,5.1549,0.90909,0.286,0.0,1.0,1.0,0.000
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual é a capital e maior cidade da Polônia?,Varsóvia  ,1.9,4.61384,1.0,0.800,0.0,1.0,1.0,0.000
Em qual rio Varsóvia fica?,Vístula  ,1.83333,3.43523,1.0,0.333,0.0,1.0,1.0,0.000
Qual era a população de Varsóvia em 2012?,1,1.66667,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Quando Varsóvia tornou-se a capital?,1569  ,1.5,3.43523,1.0,0.667,0.0,1.0,1.0,0.000
Qual é o lema de Varsóvia?,Semper invicta  ,1.57143,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
Qual é a categoria de Varsóvia?,Category:Cidades e vilas no Voivodato de Masóvia  ,1.57143,3.79304,1.0,0.333,1.77778,4.37319,1.0,0.167
Qual é o tipo de sinset para Varsóvia?,WordNet synset-monument-noun-2  ,1.66667,4.37319,1.0,0.250,0.5,1.85566,1.0,0.000
Quantos dias de precipitação Varsóvia tem anualmente?,162,2.125,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Qual é a umidade relativa em setembro em Varsóvia?,79,1.8,4.75438,0.88889,0.400,0.0,1.0,1.0,0.000
Qual é a temperatura máxima registrada em junho em Varsóvia?,36,2.27273,4.96484,0.9,0.333,0.0,1.0,1.0,0.000
