Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual foi o nome da capital da dinastia Yuan?,Shangdu,2.7,4.75438,0.88889,0.600,0.0,1.0,1.0,0.000
Qual foi o nome do líder da dinastia Yuan no início?,Kublai Khan,3.5,5.02467,1.0,0.500,0.5,1.85566,1.0,0.000
Em que ano começou a dinastia Yuan?,1271,1.75,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
Qual foi a principal língua usada na dinastia Yuan?,Chinês,2.1,4.61384,1.0,0.333,0.0,1.0,1.0,0.000
Que império foi conquistado pela dinastia Yuan?,Império Song,1.875,4.10211,1.0,0.200,0.5,1.85566,1.0,0.000
Qual foi a principal característica da dinastia Yuan?,Expansão territorial e comércio,2.0,4.37319,1.0,0.400,1.0,3.01273,1.0,0.667
Quais foram os principais grupos étnicos na dinastia Yuan?,Mongóis,2.3,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
Qual foi o principal produto comercial da dinastia Yuan?,Seda,2.3,4.61384,1.0,0.667,0.0,1.0,1.0,0.000
Qual foi o nome da moeda usada na dinastia Yuan?,Yuan,2.27273,4.82961,1.0,0.333,0.0,1.0,1.0,0.000
Qual foi o nome do sistema de calendário usado na dinastia Yuan?,Tempo concedido,2.30769,5.20226,1.0,0.571,0.5,1.85566,1.0,0.000
