Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Construção,Geral,0.0,1.0,1.0,0.000,0.0,1.0,1.0,0.000
Processo envolvido na produção de edifícios ou infraestruturas,cimbra,2.25,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quais os atores principais na indústria de construção?, empresas como Peter Lind & Company,1.66667,4.37319,1.0,0.500,1.33333,3.79304,1.0,0.000
O que é fundamental para a execução bem-sucedida de um projeto construtivo?,planejamento eficaz,2.30769,5.20226,1.0,0.500,0.5,1.85566,1.0,0.500
Os maiores projetos de construção são conhecidos como o quê?,megaprojetos,2.63636,4.82961,1.0,0.500,0.0,1.0,1.0,0.000
Quais as principais empresas atuantes na indústria de construção?,Confidence Group,2.6,4.61384,1.0,0.400,0.5,1.85566,1.0,0.000
O que é essencial para os envolvidos na execução de um projeto construtivo?,planejamento,2.21429,5.36491,1.0,0.500,0.0,1.0,1.0,1.000
Os desafios principais da indústria de construção são o que?,acidentes de trabalho e altos custos,2.27273,4.82961,1.0,0.600,1.16667,3.79304,1.0,0.250
Qual é a relação entre a indústria de construction e os impactos ambientais?,manutenção de ambiente,2.0,5.48607,0.92308,0.333,0.66667,2.50045,1.0,0.500
O que caracteriza osativos na indústria de construction?,Planejamento,2.0,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
