Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem formulou originalmente o conceito de desobediência civil?,Henry David Thoreau,1.77778,4.37319,1.0,0.400,1.0,2.50045,1.0,0.000
O que é a desobediência civil?,uma forma de protesto político feito pacificamente contra leis ou governos injustos,1.57143,3.79304,1.0,0.333,1.33333,5.20226,1.0,0.375
Qual movimento aplicou com sucesso a desobediência civil na luta pelos direitos civis nos Estados Unidos?,Martin Luther King,2.76471,5.78178,1.0,0.400,1.0,2.50045,1.0,0.000
Em qual processo foi utilizada a desobediência civil por Gandhi?,independência da Índia e do Paquistão,2.18182,4.82961,1.0,0.333,1.33333,3.79304,1.0,0.800
O que é um exemplo recente de uso de desobediência civil na Nigéria?,2021 End SARS memorial protest,2.57143,5.48607,0.92308,0.571,2.0,3.43523,1.0,0.000
Qual movimento em Montenegro usou os métodos de desobediência civil contra a corrupção?,2019 Montenegrin anti-corruption protests,2.14286,5.36491,1.0,0.429,1.5,3.01273,1.0,0.000
Quem tem o principal interesse em desobediência civil na filosofia política?,Tony Milligan,2.58333,5.02467,1.0,0.714,0.5,1.85566,1.0,0.000
O que é um exemplo de desobediência civil no movimento LGBTQ+ em Polônia?,August 2020 LGBT protests in Poland,2.6,5.36491,1.0,0.429,2.5,3.79304,1.0,0.000
Qual grupo utiliza a desobediência civil para protestar contra as taxas e cortes nos serviços públicos?,National Campaign Against Fees and Cuts,2.29412,5.78178,1.0,0.333,2.5,3.79304,1.0,0.000
O que é um exemplo de desobediência civil relacionado à revolução no Irã?,2018–2019 Iranian general strikes and protests,2.5,5.36491,1.0,0.429,3.5,3.79304,1.0,0.167
