Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem primeiro propôs a desobediência civil?,Henry David Thoreau,1.57143,3.79304,1.0,0.500,1.0,2.50045,1.0,0.000
Qual foi o objetivo do Code Rood?,Cívica,2.0,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Qual movimento histórico na Índia utilizou a desobediência civil?,Independência da Índia e Paquistão,2.4,4.61384,1.0,0.500,1.4,3.43523,1.0,0.000
Como Martin Luther King Jr. usou a desobediência civil?,Na luta pelos direitos civis e contra a segregação racial,2.8,4.61384,1.0,0.143,1.2,4.82961,1.0,0.200
Qual exemplo de desobediência civil ocorreu em 1998?,Greve dos mineradores russos,1.77778,4.37319,1.0,0.400,0.75,3.01273,1.0,0.000
Qual evento recente em 2022 envolveu desobediência civil?,Distúrbios no Cazaquistão,1.88889,4.37319,1.0,0.500,1.0,2.50045,1.0,0.000
Quem é conhecido além de Thoreau por defender a desobediência civil?,Mahatma Gandhi,2.16667,5.02467,1.0,0.500,0.5,1.85566,1.0,0.000
Qual organização utiliza a desobediência civil como método?,Ruckus Society,1.77778,4.37319,1.0,0.600,0.5,1.85566,1.0,0.000
Qual foi o propósito do Shooting of Sean Monterrosa?,Desobediência Civil,2.3,4.61384,1.0,0.167,0.5,1.85566,1.0,0.000
Qual protesto de 2017 ocorreu na Sérvia?,Protestos serbófonos,2.0,4.10211,1.0,0.000,0.5,1.85566,1.0,0.000
