Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é a unidade básica da força no Sistema Internacional de Unidades (SI)?, Newton (N),3.5,5.36491,1.0,0.333,1.5,1.85566,1.0,0.000
Quais são os dois tipos principais de forças?, Forças gravitacionais e forças eletromagnéticas.,1.77778,4.37319,1.0,0.250,1.66667,3.59796,0.8,0.000
Qual foi o trabalho pioneiro de Galileu Galilei sobre movimento e gravidade?, Descobriu as leis do movimento uniformemente acelerado e confirmou a lei da queda dos corpos.,2.15385,5.20226,1.0,0.286,2.75,5.65316,1.0,0.333
Como Aristóteles descreveu a força?, Ele postulou que para manter o movimento,1.66667,3.43523,1.0,0.333,0.85714,4.10211,1.0,0.667
Quem foi o primeiro a formular as leis do movimento e da gravidade?, Sir Isaac Newton,2.35714,5.36491,1.0,0.333,1.0,2.50045,1.0,0.000
Quais são os três princípios fundamentais das forças?, Primeira Lei (Lei da Inércia),2.22222,4.37319,1.0,0.250,3.0,3.59796,0.8,0.000
Como a teoria da relatividade de Einstein afeta nossa compreensão das forças?, Ela revela que as forças são manifestações de interações entre objetos através do espaço-tempo curvo.,2.23077,5.20226,1.0,0.333,2.125,5.65316,1.0,0.125
Quais são as forças fundamentais descritas pela Teoria Quântica de Campos?, Gravitação,2.33333,5.02467,1.0,0.250,0.0,1.0,1.0,0.000
O que é a força nuclear forte?, Responsável por manter unidos os prótons e nêutrons no núcleo atômico.,1.75,4.10211,1.0,1.000,2.08333,5.02467,1.0,0.429
Quais são as partículas responsáveis pela transmissão da força nuclear fraca?, Bósons W e Z.,2.66667,5.02467,1.0,0.571,1.4,3.01273,1.0,0.000
