Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a definição de um número primo? ,Um número natural maior que 1 que não é produto de dois números menores.,1.66667,4.37319,1.0,1.000,1.86667,5.63172,0.92857,0.667
Quais números são chamados de números compostos? ,Números naturais maiores que 1 que não são primos.,1.75,4.25402,0.85714,0.200,2.3,4.75438,0.88889,0.429
Qual é o Teorema Fundamental da Aritmética? ,Todo número natural maior que 1 é primo ou pode ser fatorado em primos.,2.0,4.10211,1.0,0.000,2.2,5.51466,1.0,0.700
Que tipo de algoritmo é o trial division? ,Um método simples,2.0,4.37319,1.0,0.200,0.66667,2.50045,1.0,1.000
Qual algoritmo de teste de primalidade tem uma pequena chance de erro? ,Miller–Rabin primality test.,2.23077,5.47097,0.83333,0.429,2.0,2.50045,1.0,0.000
Qual algoritmo de teste de primalidade sempre produz a resposta correta? ,AKS primality test.,2.16667,5.1549,0.90909,0.429,1.25,2.50045,1.0,0.000
O que são números de forma especial? ,Números com formas específicas,1.625,4.10211,1.0,0.750,0.75,3.01273,1.0,0.000
Qual é a relação entre a probabilidade de um número ser primo e seu número de dígitos? ,Inversamente proporcional ao seu número de dígitos.,2.33333,6.25277,0.82353,0.875,1.75,4.10211,1.0,0.250
O que é Goldbach's conjecture? ,Todo número par maior que 2 pode ser expresso como a soma de dois primos.,2.5,3.79304,1.0,0.250,2.125,5.65316,1.0,0.667
Qual a importância dos números primos em criptografia? ,Baseiam-se na dificuldade de fatorar números grandes em seus fatores primos.,2.55556,4.37319,1.0,0.250,2.16667,5.02467,1.0,0.143
