Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quando BSB começou a fornecer serviços de TV por satélite?,Em março de 1990,1.72727,4.82961,1.0,0.500,0.75,3.01273,1.0,0.500
Com qual empresa BSB teve merger foundations em 1990?,Sky Television,2.0,4.61384,1.0,0.167,0.5,1.85566,1.0,0.000
Qual mês foi anunciada a fusão entre BSB e Sky Television?,Novembro,2.08333,5.02467,1.0,0.143,0.0,1.0,1.0,0.000
Onde está localizado BSB?,Londony,1.4,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
Em qual ano BSB começou a broad casting?,1990,1.88889,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quando BSB teve merger foundations em 1990?,Com Sky Television,1.75,4.10211,1.0,0.000,0.66667,2.50045,1.0,0.000
Em qual data BSB comeiou as operações?,25 de março de 1990,1.875,4.10211,1.0,0.250,0.8,3.59796,0.8,0.333
Com quem juntou Sky Television para formar British Sky Broadcasting?,BSB,2.09091,4.96484,0.9,0.143,0.0,1.0,1.0,0.000
Em qual mês a fusão entre BSB e Sky Television aconteceu?,Novembro,2.66667,5.02467,1.0,0.167,0.0,1.0,1.0,0.000
Para qual país BSB fornece TV por satélite?,Reino Unido,1.88889,4.37319,1.0,0.600,0.5,1.85566,1.0,0.000
1. Em qual ano BSB começou a fornecer serviços de TV por satélite?,Em março de 1990,1.21154,5.36491,1.0,0.500,0.75,3.01273,1.0,0.500
2. Com qual empresa BSB teve merger foundations em 1990?,Sky Television,1.25,4.82961,1.0,0.143,0.5,1.85566,1.0,0.000
3. Qual mês foi anunciada a fusão entre BSB e Sky Television?,Novembro,1.29167,5.20226,1.0,0.125,0.0,1.0,1.0,0.000
4. Onde está localizado BSB?,Londony (typo here,0.95,3.43523,1.0,0.000,1.5,2.50045,1.0,0.000
5. Em qual ano BSB começou a broad casting?,1990,1.19444,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
6. Quando BSB teve merger foundations em 1990?,Com Sky Television,1.125,4.37319,1.0,0.000,0.66667,2.50045,1.0,0.000
7. Em qual data BSB comeiou as operações?,25 de março de 1990,1.1875,4.37319,1.0,0.200,0.8,3.59796,0.8,0.333
8. Com quem juntou Sky Television para formar British Sky Broadcasting?,BSB,1.29545,5.1549,0.90909,0.125,0.0,1.0,1.0,0.000
9. Em qual mês a fusão entre BSB e Sky Television aconteceu?,Novembro,1.58333,5.20226,1.0,0.143,0.0,1.0,1.0,0.000
10. Para qual país BSB fornece TV por satélite?,Reino Unido,1.19444,4.61384,1.0,0.500,0.5,1.85566,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quando BSB começou a fornecer serviços de TV por satélite?,Em março de 1990  ,1.72727,4.82961,1.0,0.500,0.75,3.01273,1.0,0.500
Com qual empresa BSB teve merger foundations em 1990?,Sky Television  ,2.0,4.61384,1.0,0.167,0.5,1.85566,1.0,0.000
Qual mês foi anunciada a fusão entre BSB e Sky Television?,Novembro  ,2.08333,5.02467,1.0,0.143,0.0,1.0,1.0,0.000
Onde está localizado BSB?,Londony  ,1.4,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
Em qual ano BSB começou a broad casting?,1990  ,1.88889,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quando BSB teve merger foundations em 1990?,Com Sky Television  ,1.75,4.10211,1.0,0.000,0.66667,2.50045,1.0,0.000
Em qual data BSB comeiou as operações?,25 de março de 1990  ,1.875,4.10211,1.0,0.250,0.8,3.59796,0.8,0.333
Com quem juntou Sky Television para formar British Sky Broadcasting?,BSB  ,2.09091,4.96484,0.9,0.143,0.0,1.0,1.0,0.000
Em qual mês a fusão entre BSB e Sky Television aconteceu?,Novembro  ,2.66667,5.02467,1.0,0.167,0.0,1.0,1.0,0.000
Para qual país BSB fornece TV por satélite?,Reino Unido,1.88889,4.37319,1.0,0.600,0.5,1.85566,1.0,0.000
