Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
6. Largest city it passes through? Probably Basel or Rotterdam, looking at context,1.33333,4.82961,1.0,0.000,1.0,2.50045,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Onde o Reno nasce?,Suíça,1.6,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o ponto final do Reno?,Mar do Norte (via Holanda),1.75,4.10211,1.0,0.750,3.0,3.43523,1.0,0.400
Qual rio é maior que o Reno?,Danúbio,1.75,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
De onde deriva o nome Reno?,Celta Rēnos,2.14286,3.79304,1.0,0.333,0.5,1.85566,1.0,0.000
 Qual é a maior cidade pelo qual o Reno passa?,Rotterdam,2.18182,4.96484,0.9,0.400,0.0,1.0,1.0,0.000
 Quais estados germânicos são nomeados após o Reno?,Renato da Westfália do Norte e Renato Palatinado,2.11111,4.37319,1.0,0.200,2.125,4.51932,0.875,0.143
Qual foi a função principal do Reno desde os tempos romanos?,Rota de navegação comercial importante,2.25,5.02467,1.0,0.333,1.0,3.43523,1.0,1.000
 Qual é um exemplo de ponte que cruza o Reno?,Ponte Hohenzollern ou Ludendorff,1.72727,4.82961,1.0,0.400,0.75,3.01273,1.0,0.000
 Qual é a distância percorrida pelo Reno?,1.230 km (760 milhas),2.0,4.10211,1.0,0.250,2.5,3.01273,1.0,0.000
Qual rio desagua no Reno?,Main,2.0,3.43523,1.0,0.333,0.0,1.0,1.0,0.000
