Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Onde está localizada Victoria?,Sul doeste de Australia,1.4,3.01273,1.0,0.000,0.75,3.01273,1.0,0.000
Qual é a população de Victoria?,Muitos milhões,1.57143,3.79304,1.0,0.333,0.5,1.85566,1.0,0.000
Quem é o governador da Victoria atualmente?,Linda Dessau,2.0,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
Quais são as principais características geográficas de Victoria?,Variações de clima e feições geográficas,1.66667,4.37319,1.0,0.200,1.16667,3.79304,1.0,0.250
Qual é a localização geográfica do Victoria em relação às outras províncias?,Borda da Austrália Ocidental ao sul e com Tasmania à pequena extensão de terra no norte.,2.92308,5.20226,1.0,0.000,2.58824,5.78178,1.0,0.444
Em que ano foi separada Victoria de Nova Gales do Sul para se tornar uma província independente?,1851,2.44444,5.90165,1.0,0.417,0.0,1.0,1.0,0.000
Qual é a população mais densamente povoada de todos os estados australianos em 2023?,Melbourne (a maior cidade e capital da Victoria),2.2,5.51466,1.0,0.250,1.4,4.37319,1.0,0.800
Quais são quatro das maiores cidades da Victoria?,Melbourne,1.88889,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
O que aconteceu com Melbourne após a separação de Victoria de Nova Gales do Sul?,Sua população aumentou significativamente e tornou-se uma cidade federal.,2.0,5.76639,0.93333,0.222,1.8,4.61384,1.0,0.500
Em que período houve um rush em busca de ouro na província de Victoria?,1850s e 1860s,1.93333,5.76263,0.85714,0.429,0.66667,2.50045,1.0,0.000
