Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Definição do termo Imperialism em historical context,O termo Imperialism refere-se à relação de potência onde uma entidade governa ou controla outro território,1.28571,4.10211,1.0,0.200,1.75,5.78178,1.0,0.333
O origem do termo Imperialism,O término Imperialism origina-se no latim imperium,1.4,3.43523,1.0,0.667,1.42857,4.10211,1.0,0.000
Uma definição moderna de Imperialism em political science,Em ciências políticas,1.0,4.37319,1.0,0.200,0.66667,2.50045,1.0,0.000
O que é um exemplo deImpério antigo e sua definição,O Império România,1.3,4.82961,1.0,0.600,0.66667,2.50045,1.0,0.000
Uma definição deImperialism em biology,No contexto biológico,1.0,3.43523,1.0,0.333,0.66667,2.50045,1.0,0.000
Uma definição deImperialism em history,Em histórico,1.0,3.43523,1.0,0.333,0.5,1.85566,1.0,1.000
Os primeiros usos do termo Imperialism em geografia,No contexto geográfico,1.5,4.37319,1.0,0.400,1.0,2.50045,1.0,0.500
Uma definição deImperialism em military science,Em ciência da Guerra,1.0,3.79304,1.0,0.250,1.0,3.01273,1.0,0.500
Os tipos de Império historicamente contrastes para modernos,Os impérios históricos eram freqüentemente baseados em Reis aut Crônicas ou consuls,1.375,4.37319,1.0,0.000,1.41667,5.20226,1.0,0.000
O impacto do Imperialism em populações indígenas,O Imperialism frequentemente leva a invasions,1.14286,4.10211,1.0,0.000,1.0,3.79304,1.0,0.000
