Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quando começou a crise petrolífera de 1973?,Outubro de 1973,1.625,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.000
Qual organização impôs o embargo petrolífero?,Organização dos Países Árabes Exportadores de Petróleo (OPAEP),1.71429,3.79304,1.0,0.250,2.2,4.37319,1.0,0.125
Quais países foram inicialmente alvos do embargo?,Canadá,2.0,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Qual foi a mudança no preço do petróleo durante a crise?,Subiu de US$ 3 para cerca de US$ 12 por barril,2.75,5.1549,0.90909,0.800,1.76923,5.47097,0.83333,0.000
Qual foi o motivo do embargo?,Apoio ao Israel durante a Guerra do Yom Kippur,1.71429,3.79304,1.0,0.333,1.55556,4.61384,1.0,0.167
Quando terminou o embargo petrolífero?,Março de 1974,1.5,3.43523,1.0,0.000,0.66667,2.50045,1.0,0.000
Como este evento é posteriormente chamado?,Primeiro choque do petróleo,1.71429,3.79304,1.0,0.500,1.0,3.01273,1.0,0.667
 Houve outro choque do petróleo após 1973?,Sim,2.25,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
 Qual foi um efeito econômico importante da crise?,Inflação global,2.11111,4.37319,1.0,0.800,0.5,1.85566,1.0,0.000
 Quais foram as consequências diretas no suprimento de energia?,Falta de combustível em vários países,2.3,4.61384,1.0,0.200,0.83333,3.79304,1.0,0.333
