Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quem estabeleceu o IPCC?,Organização Meteorológica Mundial (WMO) e Programa Ambiental das Nações Unidas (UNEP),1.4,3.01273,1.0,0.000,2.53333,5.02467,1.0,0.000
Quando o IPCC foi criado?,Em 1988,1.66667,3.43523,1.0,0.667,0.5,1.85566,1.0,0.000
Onde fica o secretariado do IPCC?,Genebra,1.71429,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Quantos países são membros do IPCC?,195,1.85714,3.79304,1.0,0.250,0.0,1.0,1.0,0.000
Quanto tempo dura um ciclo de avaliação do IPCC?,6 a 7 anos,1.9,4.61384,1.0,0.600,0.75,3.01273,1.0,0.000
Quem seleciona os expertos para preparar os relatórios do IPCC?,O bureau de cientistas eleito pelos membros do IPCC,2.72727,4.96484,0.9,0.200,1.55556,4.61384,1.0,0.200
Qual é o papel dos grupos de trabalho e da força-tarefa do IPCC?,Realizar o trabalho científico do IPCC,2.42857,5.36491,1.0,0.333,1.0,3.79304,1.0,0.500
Como o IPCC informa os governos sobre as mudanças climáticas?,Examinando a literatura científica relevante sobre o assunto,1.81818,4.82961,1.0,0.000,1.0,4.37319,1.0,0.400
O IPCC conduz pesquisas originais?,Não,1.66667,3.43523,1.0,0.000,0.0,1.0,1.0,0.000
Quantas pessoas voluntárias revisam as publicações do IPCC?,Milhares de cientistas e outros especialistas,2.11111,4.37319,1.0,0.000,1.16667,3.79304,1.0,0.000
Quando o IPCC recebeu o Prêmio Nobel da Paz?,Em 2007,2.1,4.75438,0.88889,0.000,0.5,1.85566,1.0,0.000
Quando começou a sexta avaliação do IPCC?,Em 2015,2.0,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
Quando está previsto que a Sexta Avaliação do IPCC seja concluída?,Em março de 2023,2.33333,5.02467,1.0,0.000,0.75,3.01273,1.0,0.500
